Job Title,Company Name,Location,Link
Traineeship/Trainee,Pro Public,"Kathmandu, Kapilvastu",['https://www.jobsnepal.com/traineeshiptrainee-132588']
REQUEST FOR PROPOSAL,Save the Children,Kathmandu,['https://www.jobsnepal.com/request-for-proposal-132587']
UI/UX Consultant,LIS Nepal Pvt. Ltd. (Sister Concern of Yomari Group of Companies),Lalitpur,['https://www.jobsnepal.com/uiux-consultant-132585']
Agro-Forestry Trainer/Finance Assistant,ECOHIMAL NEPAL,"Kathmandu, Kavrepalanchowk",['https://www.jobsnepal.com/agro-forestry-trainerfinance-assistant-132570']
Retail Store Sales Associate,Vision Craft Nepal,Kathmandu,['https://www.jobsnepal.com/retail-store-sales-associate-132563']
RESERVATION OFFICER (FEMALE),Victoria Tours Nepal,Kathmandu,['https://www.jobsnepal.com/reservation-officer-female-132562']
Sr. Graphic Designer/Graphic Designer,Trikon Advertising Service,Kathmandu,['https://www.jobsnepal.com/sr-graphic-designergraphic-designer-132561']
Grants and Training Specialist,Chemonics International,Accounting and Finance,['https://www.jobsnepal.com/grants-and-training-specialist-132556']
QC Engineer & Frontend Developer,Nepasoft Solutions Pvt. Ltd.,Information Technology,['https://www.jobsnepal.com/qc-engineer-frontend-developer-132551']
Accountant,The Vesper House PVT Ltd,Lalitpur,['https://www.jobsnepal.com/accountant-132550']
आशय पत्र आह्वान सम्बन्धी सूचना,Ratauli Yuba Club (RYC),Mahottari,['https://www.jobsnepal.com/aashaya-patara-aahavana-samabnathha-sacana-132539']
Front Dest Officer / Receiptionist,Uranus Tech Nepal Pvt Ltd,Kathmandu,['https://www.jobsnepal.com/front-dest-officer-receiptionist-132530']
Finance Head,The Vesper House PVT Ltd,Lalitpur,['https://www.jobsnepal.com/finance-head-132528']
Senior Human Resource Officer,The Vesper House PVT Ltd,Lalitpur,['https://www.jobsnepal.com/senior-human-resource-officer-132526']
Receptionist,Easy Heli Charter Service Private Limited,Kathmandu,['https://www.jobsnepal.com/receptionist-132523']
Office Executive,Sita Air Limited,Kathmandu,['https://www.jobsnepal.com/office-executive-132514']
﻿Vacancy: LA and Math Teachers for Middle School,Kaasthamandap Vidhyalaya,Kathmandu,['https://www.jobsnepal.com/vacancy-la-and-math-teachers-for-middle-school-132494']
Web Content Writer (Remote),Outpace,Other - Specify,['https://www.jobsnepal.com/web-content-writer-remote-132486']
Machine Operator/ Technician,ims health product pvt ltd,Kathmandu,['https://www.jobsnepal.com/machine-operator-technician-132485']
Correspondance staff for a Travel Agency,Yeti Escape Pvt Ltd,Lalitpur,['https://www.jobsnepal.com/correspondance-staff-for-a-travel-agency-132484']
Chef,Local Restro & Bar,Kathmandu,['https://www.jobsnepal.com/chef-132482']
DevOps Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/devops-engineer-132451']
Sr. Python Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/sr-python-developer-132450']
﻿Java Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/java-developer-132449']
QA Automation Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/qa-automation-engineer-132447']
Software Engineer- Frontend (Angular),Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/software-engineer-frontend-angular-132446']
Engineering Manager (Technical Manager - Full Stack .Net),Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/engineering-manager-technical-manager-full-stack-net-132445']
﻿Software Engineer (NoSQL DBA),Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/software-engineer-nosql-dba-132444']
Python Data Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/python-data-engineer-132443']
